Escola,Código INEP,Categoria Administrativa,Logradouro,Número,Bairro,CEP,Telefone,Latitude,Longitude
CRECHE MUNICIPAL SILVIO DE ABREU,35120364,Pública,ERNESTO SEBASTIAO DO NASCIMENTO,182 RUA,RUA,11325-070,(13) 35670330,-23.9880961,-46.3958848
VOVO LENICE CRECHE MUNICIPAL,35120455,Pública,PADRE ANDRE DE SOVERAL,281 RUA,RUA,11345-310,(13) 35760219,-23.9923921,-46.4920569
EXITO COLEGIO,35120819,Privada,DEODORO MARECHAL,267 AVENIDA,AVENIDA,11390-100,(13) 34680429,-23.9648028,-46.3795442
JEAN PIAGET COLEGIO,35121253,Privada,STELIO MACHADO LOUREIRO,694 710,710,11355-240,(13) 34621143,-23.9500421,-46.4050013
ESCOLA DE EDUCACAO INFANTIL SEMENTINHA,35121332,Privada,MONTE PLANO,154 RUA,RUA,11335-020,(13) 34640555,-23.96274,-46.39965
EXEMPLO COLEGIO,35122208,Privada,SEBASTIAO RIBEIRO DA SILVA,5 RUA,RUA,11349-140,(13) 35642887,-23.9494052,-46.4586447
SAO PEDRO COLEGIO,35126160,Privada,FREI GASPAR,4180 RUA,RUA,11350-000,(13) 34642522,-23.9476307,-46.4134301
CELLULA MATER COLEGIO UNIDADE II,35137807,Privada,PRESIDENTE WILSON,1252 AVENIDA,AVENIDA,11320-000,(13) 34676160,-23.96954,-46.37363
SANTA ROSA COLEGIO,35140764,Privada,CAMPOS DE BURY,187 RUA,RUA,11310-350,(13) 34695072,-23.9631106,-46.3943092
NOTRE DAME ESCOLA UNIDADE II,35141677,Privada,PERO CORREA,526 RUA,RUA,11320-140,(13) 35791212,-23.9698555,-46.3684327
VERDE QUE TE QUERO VERDE ESCOLA,35144320,Privada,FREITAS GUIMARAES,152 RUA,RUA,11320-140,(13) 33243624,-23.9698196,-46.3699862
APAE DE SAO VICENTE ESCOLA DE EDUCACAO ESPECIAL,35149731,Privada,FELICIANA MARCONDES DA SILVA,205 RUA,RUA,11390-220,(13) 34673991,-23.9618542,-46.3828481
INTEGRACAO COLEGIO UNIDADE II,35151130,Privada,AGUIAR CAPITAOMOR,572 AVENIDA,AVENIDA,11310-200,(13) 35698100,-23.96632765,-46.39164985
NASCIMENTO COLEGIO,35151221,Privada,COSTA REGO,50 RUA,RUA,11380-140,(13) 35615642,-23.9547447,-46.3742159
LIDER COLEGIO,35159293,Privada,TAMBAU,123 133,133,11355-030,(13) 34648157,-23.9543072,-46.4065133
APOIO COLEGIO,35159311,Privada,ANTONIO DOS SANTOS BARBOSA,283 RUA,RUA,11340-320,(13) 34648361,-23.9543502,-46.4116252
FORTEC ESCOLA TECNICA UNID IV,35160477,Privada,WILSON PRESIDENTE,1013 AVENIDA,AVENIDA,11320-001,(13) 35692525,-23.967344,-46.3782042
CASTELINHO CENTRO DE EDUCACAO,35175146,Privada,JOSE MONTEIRO PREFEITO,3341 AVENIDA,AVENIDA,11380-001,(13) 35613905,-23.9611846,-46.3763905
CORACAOZINHO II ESCOLA DE EDUCACAO INFANTIL,35175225,Privada,MONTEIRO LOBATO,190 AVENIDA,AVENIDA,11380-500,(13) 34695936,-23.96561,-46.37253
SANTA MARGARIDA NUCLEO DE RECREACAO INFANTIL,35175249,Privada,VEREADOR JOSE VICENTE DE BARROS,41 RUA,RUA,11330-560,(13) 34624108,-23.96880083,-46.40244637
