nome-fantasia,esfera-administrativa,cep,logradouro,numero,bairro,telefone,latitude,longitude,turno-atendimento,centro-cirurgico,centro-obstetrico,centro-neonatal,atendimento-hospitalar,servico-apoio,atendimento-ambulatorial,ambulatorial-sus
ACS VIDA,MUNICIPAL,11310061,FREI GASPAR,739,CENTRO,45 98385606,-239.656.072.465,-463.866.001.368,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
UNIDADE DE SAUDE DA MULHER SV,MUNICIPAL,11310400,R XV DE NOVEMBRO,176,CENTRO,13-34650900,-239.670.508.623,-463.869.273.663,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,SIM
IOFA INSTITUTO ORAL E FACIAL SV,MUNICIPAL,11310050,JOAO RAMALHO,570,CENTRO,13 96100542,-239.659.994.018,-463.831.776.381,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
ANTONIO ARNALDO ROMAO FILHO SAO VICENTE,MUNICIPAL,11310050,RUA JOAO RAMALHO,825,CENTRO,34696248,-239.658.552,-463.835.393,TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
FLAVIO PROENCA MARTINS DE OLIVEIRA SAO VICENTE,MUNICIPAL,11320001,AV PRESIDENTE WILSON,1033,CENTRO,34676566,-239.672.297.812,-463.785.937.428,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
COD RADIOGRAFIAS SAO VICENTE,MUNICIPAL,11310071,RUA JACOB EMMERICH,379,CENTRO,34677659,-23.967.798,-46.385.139,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
APARECIDO MAURILO ZABINI JUNIOR,MUNICIPAL,11320915,AVENIDA PRESIDENTE WILSON,1473,CENTRO,1334674699,-239.653.870.511,-463.822.076.457,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
INSTITUTO DE REABILITACAO FISIOLIFE SAO VICENTE,MUNICIPAL,11310071,RUA JACOB EMERICH,365,CENTRO,(13) 35684987,-2.396.776,-46.385.015,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
PAJP ODONTO LTDA SAO VICENTE,MUNICIPAL,11310400,RUA QUINZE DE NOVEMBRO,576,CENTRO,1334686447,-23.963.599.334,-463.853.494.747,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
ENEIDA RIVA FERREIRA SAO VICENTE,MUNICIPAL,11310061,RUA FREI GASPAR,637,CENTRO,34678766,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CREFORM SISTEMA DE SAUDE SAO VICENTE,MUNICIPAL,11320120,RUA RANGEL PESTANA,209,CENTRO,34663360,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
KATYA CHRISTINA DA COSTA FERNANDES SAO VICENTE,MUNICIPAL,11390001,AV ANTONIO EMERICH,245,CENTRO,34664110,,,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
PARTSUS SAO VICENTE,MUNICIPAL,11310061,FREI GASPAR,739,CENTRO,13 33243374,-239.655.851.877,-463.865.894.079,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
CONSULTORIO MEDICO DR LOURENCO SAO VICENTE,MUNICIPAL,11320001,AVENIDA PRESIDENTE WILSON,1473,CENTRO,34695820,,,TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
ARMIDA MARIA SOLA CECCHI FERNANDES SAO VICENTE,MUNICIPAL,11310040,RUA PADRE ANCHIETA,331,CENTRO,13 34683348,-239.677.351,-463.847.705,TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
LABORATORIO PASTEUR DE ANALISES CLINICAS I SAO VICENTE,MUNICIPAL,11310061,RUA FREI GASPAR,739,CENTRO,(13) 33243412,-23.965.618,-46.386.674,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
CESAR ALVES MALERBA SAO VICENTE,MUNICIPAL,11310500,RUA BENJAMIN CONSTANT,61,CENTRO,1335611295,-239.634.918,-463.854.069,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
MARIA ANGELICA DA SILVA ALMEIDA SAO VICENTE,MUNICIPAL,11310071,R BENJAMIN CONSTANT,61,CENTRO,1334686059,-239.633.035.316,-463.854.042.607,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
KAOLU NOGUI SAO VICENTE,MUNICIPAL,11310010,RUA MARTIM AFONSO,230,CENTRO,(13) 34684090,-23.967.526,-4.638.575,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
MARIA JOSE DE ABREU SAO VICENTE,MUNICIPAL,11310071,R JACOB EMERICH,379,CENTRO,(13) 34695164,-23.967.761,-46.385.142,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
PERUSSI CARVALHO OFTALMOLOGISTAS ASSOCIADOS LTDA SAO VIC,MUNICIPAL,11310061,RUA FREI GASPAR,637,CENTRO,1334668609,-23.966.058,-46.385.723,INTERMITENTES,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CHRISTIAN MARCOS ARANA ENRIQUEZ SV,MUNICIPAL,11310400,QUINZE DE NOVEMBRO,576,CENTRO,13 96428236,-239.637.853,-463.853.854,MANHA,0.0,0.0,0.0,0.0,0.0,0.0,NAO
LOTO MD SAO VICENTE,MUNICIPAL,11310061,FREI GASPAR,931,CENTRO,11945216348,-239.489.251.098,-464.126.492.808,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
IGESP SAO VICENTE,MUNICIPAL,11310071,JACOB EMERICK,921,CENTRO,11 35884900,-239.649.757,-46.391.263,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
LUIZ CARLOS ANTUNES LOPES SAO VICENTE,MUNICIPAL,11310060,RUA FREI GASPAR,438,CENTRO,(13)30119357,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
ALCEVIDAS II SAO VICENTE,MUNICIPAL,11310400,QUINZE DE NOVEMBRO,576,CENTRO,11 98303892,-239.637.853,-463.853.854,MANHA-TARDE-NOITE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
CA ODONTOLOGIA SAO VICENTE,MUNICIPAL,11310040,RUA PADRE ANCHIETA,306,CENTRO,(13)34666419,,,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
MCM CENTER ODONTO SAO VICENTE,MUNICIPAL,11310050,RUA JOAO RAMALHO,825,CENTRO,(13)35681853,,,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
CINTIA MARA AOKI TRONOLONI SAO VICENTE,MUNICIPAL,11310061,RUA FREI GASPAR,931,CENTRO,30249899,-239.647.003.828,-463.884.615.898,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
GASTROENDOFIT SERVICOS DE ENDOSCOPIA SAO VICENTE,MUNICIPAL,11310061,FREI GASPAR,790,CENTRO,13 81429846,-239.653.474.429,-463.864.445.686,MANHA-TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
M G DA SILVA NETO CLINICA SAO VICENTE,MUNICIPAL,11310050,JOAO RAMALHO,825,CENTRO,13 34683250,-239.649.111.679,-463.855.111.599,MANHA-TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
IMD SAO VICENTE,MUNICIPAL,11310071,RUA JACOB EMERICK,921,CENTRO,,-23.967.373,-4.638.449,MANHA,0.0,0.0,0.0,0.0,0.0,0.0,NAO
